date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-03-28,31151.80726931111,31151.80726931111,0.0,0.0,14954.98870222662,11850.46801304566,0.0,17225.405813463483,15867.46594163821,0.0,0.0,15867.46594163821,6233.381908008875,6525.685058850984
2025-03-29,30048.75172138307,30508.90144031536,460.149718932291,0.0,15647.271074996355,12529.774815431167,0.0,19684.195997416835,15187.160300601043,623.9463867608608,0.0,15811.106687361904,6525.685058850984,6686.257009201969
2025-03-30,67327.72739304237,67330.63367361529,2.906280572916444,0.0,20201.66148496093,16672.196689192708,0.0,8455.549177847068,40203.74076743473,5.469068877293862,0.0,40209.20983631202,6686.257009201969,6343.089357674917
2025-03-31,59614.804325296835,63721.007750024284,4106.203424727453,0.0,20653.51408620042,16459.85063377088,0.0,2575.9548142614135,36111.783488660105,3158.5193836717926,0.0,39270.3028723319,6343.089357674917,6642.529108843215
2025-04-01,72724.33366428653,72966.40544522056,242.07178093402945,0.0,18045.268861332897,14900.947620346353,0.0,9613.232687567353,43403.66469488572,297.53019791360316,0.0,43701.19489279932,6642.529108843215,6326.662616991318
2025-04-02,69266.31923719002,69452.12613908303,185.8069018930177,0.0,19525.07732303288,15869.722602159243,0.0,5361.4360182094015,41609.856313536286,208.73800089274476,0.0,41818.59431442903,6326.662616991318,6266.2070942106475
2025-04-03,70593.09059593188,70593.09059593188,0.0,0.0,19021.07181579234,15375.382476796873,0.0,11083.870990269741,43082.204091661275,0.0,0.0,43082.204091661275,6266.2070942106475,6301.413420871674
2025-04-04,29776.647427339623,29833.722729362195,57.07530202257011,0.0,15582.857403292608,12298.999960551,0.0,20119.063036620588,15027.050326478253,79.95318570803424,0.0,15107.003512186286,6301.413420871674,6660.429572111691
2025-04-05,27445.504403849474,27902.029709892577,456.5253060431009,0.0,16029.719499808327,13557.45797649045,89.75237018294071,13475.405573424307,13616.27677027958,589.8408819920032,431.9746006947561,14638.09225296634,6660.429572111691,6023.334925838684
2025-04-06,64257.522200293635,64935.765704714555,678.2435044209188,0.0,21435.022962156152,17333.3236138125,210.2689941302102,6634.259083834447,37664.77961602434,939.8987190255287,1184.9584468294522,39789.63678187932,6023.334925838684,6055.607131987557
