date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-04-19,27300.11019120004,27300.11019120004,0.0,0.0,15664.355218070828,12986.113945128083,0.0,17837.189668257295,13298.074048082177,0.0,0.0,13298.074048082177
2025-04-20,58455.40704578864,58455.40704578864,0.0,0.0,20007.459868515893,16043.673542556424,0.0,2533.8758364958453,35019.82312991185,0.0,0.0,35019.82312991185
2025-04-21,62234.00027169779,62234.00027169779,0.0,0.0,18269.45384984075,15154.284312855902,0.0,10601.920351379616,36963.71964322496,0.0,0.0,36963.71964322496
2025-04-22,55995.752823122,55995.752823122,0.0,0.0,18771.285215869502,15345.676997862416,169.849236052513,587.0645245007634,33371.3348452626,0.0,1184.8682707023306,34556.20311596493
2025-04-23,54363.56338553562,54363.56338553562,0.0,0.0,18643.579185622428,14975.658152687502,846.9914131284702,142.71704906249988,32478.257818038648,0.0,5876.822125253301,38355.07994329195
2025-04-24,56245.47017847173,56245.47017847173,0.0,0.0,19242.873830739292,15495.470420876734,0.0,5407.960068609183,33522.03648046483,0.0,0.0,33522.03648046483
2025-04-25,27346.730178111717,27346.730178111717,0.0,0.0,16028.156025047314,12824.930441145832,0.0,22143.146944210235,13641.354405036198,0.0,0.0,13641.354405036198
2025-04-26,27202.339459086415,27202.339459086415,0.0,0.0,15618.260216901417,12678.431035787717,0.0,24192.316644639384,13530.324161743698,0.0,0.0,13530.324161743698
2025-04-27,55408.001171157826,55408.001171157826,0.0,0.0,19709.25752565849,16270.008979896613,133.01597232126642,3528.297414383892,33157.13435793345,0.0,927.9194229131546,34085.0537808466
2025-04-28,67459.20767387834,67459.20767387834,0.0,0.0,20208.6389555935,15951.246155885416,0.0,6579.847557503585,39705.099607065626,0.0,0.0,39705.099607065626
2025-04-29,56841.47181074925,56841.47181074925,0.0,0.0,17830.175086992822,14594.472304317318,146.07120067834262,6318.6265120854305,33936.65980021531,0.0,1018.9926959321181,34955.65249614743
2025-04-30,54003.63689372856,54003.63689372856,0.0,0.0,18198.970344635734,14842.9666490842,0.0,2390.7787648436974,32729.530893475196,0.0,0.0,32729.530893475196
2025-05-01,55539.0592616313,55539.0592616313,0.0,0.0,19296.73108131719,16593.54698092882,1801.062318793402,3625.5586800363308,33482.54761804624,0.0,11447.742512842393,44930.290130888636
2025-05-02,29766.629136591666,29766.629136591666,0.0,0.0,15420.250816356733,12100.617932548957,998.9441391579853,13155.620308608542,15035.813643454803,0.0,5724.557117667291,20760.370761122096
2025-05-03,28338.574068694616,28338.574068694616,0.0,0.0,15236.419870945912,12190.219571018924,1337.0813069401024,17762.28342570773,13964.401665521535,0.0,7525.0050532946725,21489.406718816208
2025-05-04,60394.710736428,60394.710736428,0.0,0.0,17267.21139477071,14243.927632560764,1504.376659249132,7141.1363001338605,35627.14935719426,0.0,9346.837635712638,44973.9869929069
2025-05-05,62830.98169130454,62830.98169130454,0.0,0.0,19801.45665427164,15986.090838965885,871.7902531510425,4811.3993291498355,37813.71268589424,0.0,5559.615522188065,43373.328208082305
2025-05-06,55797.80810257566,55797.80810257566,0.0,0.0,20665.24793952477,16666.597214209985,1264.596403780466,193.6714143746818,33630.532519950786,0.0,7921.161331551525,41551.69385150231
2025-05-07,59522.136854966084,59522.136854966084,0.0,0.0,20369.230274793004,16356.524635996395,705.9075198716587,1147.4927860411326,36150.38977965884,0.0,4687.643464963545,40838.033244622384
2025-05-08,67262.04744787017,67262.04744787017,0.0,0.0,19525.278063510315,15591.501941728906,217.08700720733646,7718.845933296096,39719.877414869174,0.0,1506.497126903379,41226.37454177255
2025-05-09,29809.939142089195,29809.939142089195,0.0,0.0,16200.656493545253,12752.922165193791,112.67103723090153,17975.490000968635,15372.823956569644,0.0,688.758050592501,16061.582007162146
2025-05-10,29437.765992359415,29437.765992359415,0.0,0.0,15721.551595471163,12829.488778656209,0.0,14424.657892211128,15401.42962825119,0.0,0.0,15401.42962825119
2025-05-11,64507.46792866994,64507.46792866994,0.0,0.0,18704.940363569844,15265.14536076324,178.08488425846178,5761.678726788468,38612.010809397405,0.0,1232.404512578696,39844.4153219761
2025-05-12,56556.22226565646,56556.22226565646,0.0,0.0,17480.828431363163,14025.271311836068,401.6311676821583,1571.1010804781927,34432.361790139366,0.0,2786.3358447005644,37218.69763483993
2025-05-13,66823.02530800278,66823.02530800278,0.0,0.0,17328.661134735936,14035.25497768663,0.0,10400.406384286804,39796.592025068065,0.0,0.0,39796.592025068065
2025-05-14,64343.48457156786,64343.48457156786,0.0,0.0,17966.535115737042,14483.315069830727,0.0,7846.115742328213,39374.885772938025,0.0,0.0,39374.885772938025
2025-05-15,63579.15352847075,63579.15352847075,0.0,0.0,19085.835430899402,14695.555903293487,0.0,6423.815717531506,39873.00560475,0.0,0.0,39873.00560475
2025-05-16,29087.030372614885,29087.030372614885,0.0,0.0,15979.16503559901,13035.961974793969,0.0,23428.32077847651,15983.696699764632,0.0,0.0,15983.696699764632
2025-05-17,29464.962722992055,29464.962722992055,0.0,0.0,16445.41398659599,13276.51676367895,0.0,15847.266416741682,16160.690834966035,0.0,0.0,16160.690834966035
