date,plan_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,ordinary_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
2025-05-18,55515.14129113169,55515.14129113169,0.0,0.0,11.079440861113861,14185.499176825684,15880.722026278803,33889.81699014423,0.0,33889.81699014423,63.81729182141568,33953.63428196565,10781.810925925925,5903.513489203704
2025-05-19,54241.21731466049,54241.21731466049,0.0,0.0,510.6101415388973,18525.69080064128,14912.96784929444,32649.629820007813,0.0,32649.629820007813,3544.4319180386806,36194.06173804649,5903.513489203704,6006.670932787037
2025-05-20,53667.403424602184,53667.403424602184,0.0,0.0,3757.423727936114,15480.622002657745,12626.51083345278,32518.800122362336,0.0,32518.800122362336,25446.676003359848,57965.47612572218,6006.670932787037,5909.774253564816
2025-05-21,50103.55337796981,50103.55337796981,0.0,0.0,4071.6891309944463,14842.704391303156,12140.734796505561,31121.15938899615,0.0,31121.15938899615,26426.77103603933,57547.930425035476,5909.774253564816,5778.502876287037
2025-05-22,53689.76752650547,53689.76752650547,0.0,0.0,1202.2168331138937,18081.485721505484,14115.032981052776,33043.692655103514,0.0,33043.692655103514,8291.878310986656,41335.57096609017,5778.502876287037,6368.470046694444
2025-05-23,56224.58868054183,56224.58868054183,0.0,0.0,0.0,13416.671244413577,6879.126749999999,33609.46736619907,0.0,33609.46736619907,0.0,33609.46736619907,6368.470046694444,10800.0
2025-05-24,46565.82351583333,46565.82351583333,0.0,0.0,0.0,11300.424395061727,9153.34376,29757.377759563075,0.0,29757.377759563075,0.0,29757.377759563075,10800.0,10800.0
2025-05-25,48798.85514752221,48798.85514752221,0.0,0.0,1066.67722581112,12657.953124094653,14522.243497500001,30272.112757207662,0.0,30272.112757207662,7076.8070947783,37348.919851985964,10800.0,6056.3317033518515
2025-05-26,51861.40644366255,51861.40644366255,0.0,0.0,5359.04240483889,13612.475851718113,11042.697475716668,31913.975628817956,0.0,31913.975628817956,35058.43446608402,66972.41009490198,6056.3317033518515,6037.896107990741
2025-05-27,49323.82891593621,49323.82891593621,0.0,0.0,2921.661304638893,15209.493153158433,12412.046465083331,30584.39129616705,0.0,30584.39129616705,18442.18077706266,49026.572073229705,6037.896107990741,5935.2772068518525
2025-05-28,56676.64329286008,56676.64329286008,0.0,0.0,762.0878550250078,19404.837165072015,15682.945956641666,33674.743465517415,0.0,33674.743465517415,5311.635164931121,38986.37863044853,5935.2772068518525,5974.135148037038
2025-05-29,55619.78342742797,55619.78342742797,0.0,0.0,2473.066941691672,18946.260465761316,15082.420864975002,33302.23326717064,0.0,33302.23326717064,16820.060717739827,50122.293984910466,5974.135148037038,6267.524161694446
2025-05-30,59086.72291375298,59086.72291375298,0.0,0.0,0.0,13314.183996265429,6705.260782499999,35592.149083741024,0.0,35592.149083741024,0.0,35592.149083741024,6267.524161694446,10800.0
2025-05-31,57513.25990256516,57513.25990256516,0.0,0.0,0.0,8506.171356995883,6995.841549166666,35960.40440461058,0.0,35960.40440461058,0.0,35960.40440461058,10800.0,10682.396944444445
2025-06-01,66018.74571672839,66018.74571672839,0.0,0.0,4277.405309166668,16424.44226325789,18648.055563888887,40418.22591989755,0.0,40418.22591989755,24687.26221950043,65105.48813939798,10682.396944444445,4744.333243722223
2025-06-02,74487.16055447557,74487.16055447557,0.0,0.0,3598.9413285941346,22645.336392654317,18372.808914241672,44813.546606562144,0.0,44813.546606562144,23153.076424642175,67966.62303120432,4744.333243722223,4710.9038701759255
