date,slot,time_interval,day_type,load_forecast_kw,pv_forecast_kw,pv_mean3_forecast_kw,net_forecast_kw,reserve_requirement_kw
2025-04-05,62,10:20-10:30,holiday,3603.21533203125,7609.0956396760785,7406.862499999999,-4005.8803076448285,273.7444260243819
2025-04-05,63,10:30-10:40,holiday,3333.065673828125,7775.720856991664,7383.051033333333,-4442.655183163539,316.2848631110077
2025-04-05,64,10:40-10:50,holiday,3346.99853515625,7975.393614512499,7574.008433333333,-4628.395079356249,680.3528154225102
2025-04-05,65,10:50-11:00,holiday,3408.772705078125,8136.318713793839,7899.350000000001,-4727.546008715714,719.6727459966287
2025-04-05,66,11:00-11:10,holiday,3582.191162109375,8166.665895058473,7907.390799999998,-4584.474732949098,619.4586061566324
2025-04-05,67,11:10-11:20,holiday,3576.2275390625,8264.737714417148,7949.132633333334,-4688.510175354648,530.6546531078928
2025-04-05,68,11:20-11:30,holiday,3401.31689453125,8410.69695417565,8125.537499999999,-5009.3800596444,567.3497227369068
2025-04-05,69,11:30-11:40,holiday,3389.39013671875,8425.611650707606,8166.751666666667,-5036.221513988856,581.8639959306823
2025-04-05,70,11:40-11:50,holiday,3503.77734375,8428.692196133212,8145.397966666666,-4924.914852383212,563.085453392931
2025-04-05,71,11:50-12:00,holiday,3533.6162109375,8478.721102179981,8168.55,-4945.104891242481,389.8267285932252
2025-04-05,72,12:00-12:10,holiday,3302.9169921875,8514.750418007146,8274.3849,-5211.833425819646,576.2476335810829
2025-04-05,73,12:10-12:20,holiday,3306.343017578125,8522.915813656218,8443.591933333331,-5216.572796078093,535.3562419162049
2025-04-05,74,12:20-12:30,holiday,3300.644287109375,8486.642711799264,8491.45,-5185.998424689889,564.1866743977669
2025-04-05,75,12:30-12:40,holiday,3383.622802734375,8386.531715377816,8240.0142,-5002.908912643441,621.1719964432474
2025-04-05,76,12:40-12:50,holiday,3303.039306640625,8344.930477497084,8123.357733333333,-5041.891170856459,630.3700987993836
2025-04-05,77,12:50-13:00,holiday,3272.248291015625,8322.525693436808,8236.300000000001,-5050.277402421183,692.0779986530714
2025-04-05,78,13:00-13:10,holiday,3406.706298828125,8181.15139901624,8241.3973,-4774.445100188115,468.79429695138407
2025-04-05,79,13:10-13:20,holiday,3440.235107421875,8000.813393804288,8055.1243,-4560.578286382413,531.5580883766542
2025-04-05,80,13:20-13:30,holiday,3420.3583984375,7859.635132313769,7828.25,-4439.276733876269,579.6130321893703
2025-04-05,81,13:30-13:40,holiday,3224.306884765625,7762.035994531977,7749.366466666666,-4537.729109766352,528.7694491116144
2025-04-05,82,13:40-13:50,holiday,3212.21533203125,7580.999618353346,7516.643333333333,-4368.784286322096,355.2849073128346
2025-04-05,83,13:50-14:00,holiday,3411.36865234375,7313.987356972675,7155.05,-3902.618704628925,391.64803494787816
2025-04-05,84,14:00-14:10,holiday,3304.958740234375,7083.066135642672,7012.479766666666,-3778.1073954082967,221.723922965788
2025-04-05,85,14:10-14:20,holiday,3283.489013671875,6919.955061743623,6929.927500000001,-3636.4660480717484,223.66768298099765
2025-04-05,86,14:20-14:30,holiday,3195.984130859375,6755.16489959297,6759.962500000001,-3559.180768733595,232.9870933151457
2025-04-05,87,14:30-14:40,holiday,3318.390869140625,6476.91964615303,6508.838133333334,-3158.528777012405,349.29056222178957
2025-04-05,88,14:40-14:50,holiday,3323.32080078125,6172.969811393083,6222.7899333333335,-2849.6490106118326,327.4727940800283
2025-04-05,89,14:50-15:00,holiday,3165.953857421875,5902.704829846477,5917.275000000001,-2736.750972424602,132.74249635116362
2025-04-05,90,15:00-15:10,holiday,3213.26220703125,5621.932677573089,5598.435700000001,-2408.6704705418388,173.30971961370543
2025-04-05,91,15:10-15:20,holiday,3250.62646484375,5337.070352128354,5382.5374,-2086.443887284604,145.0243261231863
2025-04-05,92,15:20-15:30,holiday,3211.908203125,5040.078796602129,5199.599999999999,-1828.170593477129,255.2717551280234
2025-04-05,93,15:30-15:40,holiday,3257.495849609375,4712.375498814794,4847.606199999999,-1454.879649205419,205.9888177386351
2025-04-05,94,15:40-15:50,holiday,3268.07666015625,4374.1679303411,4447.5914,-1106.0912701848501,209.89118209781546
2025-04-05,95,15:50-16:00,holiday,3291.362060546875,4007.0043007280096,4075.6875,-715.6422401811346,143.54249353970602
2025-04-05,96,16:00-16:10,holiday,3278.90869140625,3601.7621881787663,3692.8221666666664,-322.85349677251634,178.48729148938952
2025-04-05,97,16:10-16:20,holiday,3249.928466796875,3232.4920692584083,3311.5309,17.436397538466736,160.34340788806566
2025-04-05,98,16:20-16:30,holiday,3156.887451171875,2921.909806132765,2966.475,234.97764503911003,135.1146791283175
2025-04-05,99,16:30-16:40,holiday,3191.62890625,2620.5950993777656,2674.474333333333,571.0338068722344,147.4168075327104
2025-04-05,100,16:40-16:50,holiday,3054.232177734375,2301.5426954924187,2354.5421,752.6894822419563,125.43871901313615
2025-04-05,101,16:50-17:00,holiday,2665.352294921875,1983.1309871198134,2010.925,682.2213078020616,77.69189149061768
2025-04-05,102,17:00-17:10,holiday,2719.751220703125,1689.1124975063349,1721.8765999999998,1030.6387231967901,20.987534801878077
2025-04-05,103,17:10-17:20,holiday,2685.357177734375,1374.2268479278332,1426.1214333333335,1311.1303298065418,14.994329096746018
2025-04-05,104,17:20-17:30,holiday,2661.13427734375,1048.3220965722637,1106.575,1612.8121807714863,3.6011463996219994
2025-04-05,105,17:30-17:40,holiday,2671.844970703125,760.4151656567929,810.3721,1911.4298050463321,50.746657850655
2025-04-05,106,17:40-17:50,holiday,2697.887939453125,486.02644678303295,522.2442666666667,2211.861492670092,50.16450679618557
2025-04-05,107,17:50-18:00,holiday,2620.426513671875,246.566718046206,252.26249999999996,2373.859795625669,128.3961832224026
2025-04-05,108,18:00-18:10,holiday,2621.70849609375,103.7246687751358,53.84326666666667,2517.983827318614,115.57318528850826
2025-04-05,109,18:10-18:20,holiday,2603.078369140625,56.723450336708765,0.0,2546.354918803916,128.48226742073044
2025-04-05,110,18:20-18:30,holiday,2600.180908203125,0.0,0.0,2600.180908203125,82.40210546875025
2025-04-05,111,18:30-18:40,holiday,2606.33154296875,36.93583792128675,3.194966666666667,2569.3957050474633,39.029447968750034
2025-04-05,112,18:40-18:50,holiday,2590.156005859375,0.0,0.0,2590.156005859375,48.431580468749964
2025-04-05,113,18:50-19:00,holiday,2650.380859375,0.0,0.0,2650.380859375,119.32521093750023
2025-04-05,114,19:00-19:10,holiday,2634.413818359375,0.0,0.22939999999999997,2634.413818359375,122.74190062499949
2025-04-05,115,19:10-19:20,holiday,2591.9248046875,0.0,0.0,2591.9248046875,89.95691328125014
2025-04-05,116,19:20-19:30,holiday,2624.777587890625,0.0,0.0,2624.777587890625,100.84028124999969
2025-04-05,117,19:30-19:40,holiday,2672.472412109375,0.0,0.0165,2672.472412109375,102.74035046875015
2025-04-05,118,19:40-19:50,holiday,2685.84912109375,0.0,0.0,2685.84912109375,106.09643125000004
2025-04-05,119,19:50-20:00,holiday,2607.96875,0.0,0.0,2607.96875,137.45801562499994
2025-04-05,120,20:00-20:10,holiday,2636.342529296875,0.0,0.0012,2636.342529296875,96.6105437500001
2025-04-05,121,20:10-20:20,holiday,2667.4296875,0.0,0.0,2667.4296875,98.1932362499998
2025-04-05,122,20:20-20:30,holiday,2739.7060546875,0.0,0.0,2739.7060546875,107.65598046875009
2025-04-05,123,20:30-20:40,holiday,2695.28369140625,0.0,0.0,2695.28369140625,46.20527234374968
2025-04-05,124,20:40-20:50,holiday,2661.137939453125,0.0,0.0,2661.137939453125,39.15776249999983
2025-04-05,125,20:50-21:00,holiday,2651.627197265625,0.0,0.0,2651.627197265625,59.56294531249969
2025-04-05,126,21:00-21:10,holiday,2656.274658203125,0.0,0.0,2656.274658203125,53.42628624999998
2025-04-05,127,21:10-21:20,holiday,2674.299560546875,0.0,0.0,2674.299560546875,106.40891171874976
2025-04-05,128,21:20-21:30,holiday,2757.361083984375,0.0,0.0,2757.361083984375,108.1177792968749
2025-04-05,129,21:30-21:40,holiday,2815.788818359375,0.0,0.0,2815.788818359375,149.26683421875026
2025-04-05,130,21:40-21:50,holiday,2645.7294921875,0.0,0.0,2645.7294921875,118.59586203125014
2025-04-05,131,21:50-22:00,holiday,2409.70166015625,0.0,0.0,2409.70166015625,109.21982812500002
2025-04-05,132,22:00-22:10,holiday,2394.328125,0.0,0.0,2394.328125,98.90594585937498
2025-04-05,133,22:10-22:20,holiday,2347.34814453125,0.0,0.0,2347.34814453125,81.50841734374991
