date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-04-08,57994.82281791333,57994.82281791333,0.0,0.0,21309.641176478708,17344.079587960485,723.4838305109704,399.5514432394134,34916.63919023059,0.0,4731.132324502526,39647.77151473312
2025-04-09,57694.530155473054,57694.530155473054,0.0,0.0,17499.903512651388,14173.801813729136,4830.154981274717,64.27242115885451,34546.36575566798,0.0,30206.678373639832,64753.04412930782
2025-04-10,57995.790790527295,57995.790790527295,0.0,0.0,21318.792527227666,17162.671421774467,1297.1419478065002,676.1737328805981,34650.286905983136,0.0,7641.189736333144,42291.47664231628
2025-04-11,27428.8773089181,27428.8773089181,0.0,0.0,16992.04965961507,13920.068868281045,48.00317557046321,19088.24952648787,10666.969035193028,0.0,146.09910080439107,10813.068135997419
2025-04-12,27815.282907787474,27815.282907787474,0.0,0.0,16912.447680179546,13592.372434882716,0.0,15470.047112490643,10549.006080751607,0.0,0.0,10549.006080751607
2025-04-13,56196.016934072155,56196.016934072155,0.0,0.0,19545.885759849567,15871.228706775762,1989.7709397156527,234.77233738066946,33795.77610314978,0.0,12417.664924549661,46213.44102769944
2025-04-14,56031.56081439818,56031.56081439818,0.0,0.0,20930.273423949202,16962.760617939995,595.449506699006,131.46571508798002,33446.54213901081,0.0,3832.466904513547,37279.009043524355
2025-04-15,56629.28621906981,56629.28621906981,0.0,0.0,20091.725428801237,16180.11888595987,335.3232608842925,2913.5741037793964,33609.361692360224,0.0,2050.7673446377753,35660.129036998
2025-04-16,55852.35199811359,55852.35199811359,0.0,0.0,17672.148571186142,14435.487480483693,3205.498727720973,41.59768513211907,33590.57326918984,0.0,20368.94506399956,53959.5183331894
2025-04-17,55579.38722450935,55579.38722450935,0.0,0.0,20255.595719012872,16228.76127864418,1505.0606100895195,189.2710442301809,32984.56314362057,0.0,9544.648459279473,42529.211602900046
2025-04-18,26699.44158808002,26699.44158808002,0.0,0.0,17021.51179888037,13699.623804223595,143.28446552359543,17166.72087561351,10131.688081388382,0.0,441.24655990494887,10572.934641293332
2025-04-19,26761.45295087881,26761.45295087881,0.0,0.0,17668.607290154967,14432.015411125169,0.0,16740.18182184901,10211.027751127393,0.0,0.0,10211.027751127393
2025-04-20,54652.20468805184,54652.20468805184,0.0,0.0,19972.896482114378,16281.84352046715,1036.009133491215,39.41597656250042,32708.281926820175,0.0,6355.39485499984,39063.67678182001
2025-04-21,54387.35828234212,54387.35828234212,0.0,0.0,19859.924088451968,16137.385730730992,131.18873193916178,2279.098273226971,32135.02973849141,0.0,709.9277997622653,32844.95753825367
2025-04-22,53900.5531451542,53900.5531451542,0.0,0.0,18556.015287943923,15001.93059243419,1831.7499576837129,25.289090661511636,32416.028259874376,0.0,11394.78430308909,43810.81256296347
2025-04-23,54112.26309658955,54112.26309658955,0.0,0.0,18840.65255449739,15138.212879578427,1101.6639552825336,111.57066028645863,32706.707115709327,0.0,7310.89890703258,40017.60602274191
2025-04-24,53157.35074293291,53157.35074293291,0.0,0.0,19465.605911506802,15861.872638983272,164.94320609210237,2628.453976501485,31710.73611885499,0.0,1006.1882717385895,32716.92439059358
2025-04-25,25958.072979067038,25958.072979067038,0.0,0.0,16670.11636484393,13503.749238708611,21.936064683032214,20813.284267614752,9693.06186049399,0.0,92.41664050961472,9785.478501003605
2025-04-26,26043.0145350264,26043.0145350264,0.0,0.0,16630.773146696887,13523.802861551569,232.78749601051155,23098.63811255826,9941.9210106879,0.0,969.7140378518618,10911.635048539762
2025-04-27,50702.76722938897,50702.76722938897,0.0,0.0,19304.088776296256,15618.099249189288,2015.950805464379,459.25732441305,30244.149316615,0.0,12037.316293072856,42281.46560968785
2025-04-28,51136.6293154866,51136.6293154866,0.0,0.0,12409.52418435208,9941.423414825835,8004.178397122705,50.73962641639514,30989.33755613439,0.0,49742.147826991946,80731.48538312635
