variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-3,2025-04-25,2025-04-25 00:00:00,0,2025-04-25 00:10:00,2025-04-26 00:00:00,6313.5256200403155,6000.0,0.0,forecast,1.0,10421.084965315289,11946.416311707508,False,2025-04-24
4-3,2025-04-25,2025-04-25 06:00:00,6,2025-04-25 06:10:00,2025-04-26 06:00:00,3181.1755621096167,6000.0,0.0,forecast,1.0,11753.967555475707,13567.586303430595,False,2025-04-24
4-3,2025-04-25,2025-04-25 12:00:00,12,2025-04-25 12:10:00,2025-04-26 12:00:00,10800.0,6000.0,3.327213686783336e-16,forecast,1.0,10716.114062201614,12334.81928485722,False,2025-04-24
4-3,2025-04-25,2025-04-25 18:00:00,18,2025-04-25 18:10:00,2025-04-26 18:00:00,10123.608907407408,6000.0,0.0,forecast,1.0,9839.051406449384,11332.162742275668,False,2025-04-24
4-3,2025-04-26,2025-04-26 00:00:00,0,2025-04-26 00:10:00,2025-04-27 00:00:00,6520.591653170575,6000.0,0.0,forecast,1.0,10317.06422211386,11906.438331513817,False,2025-04-25
4-3,2025-04-26,2025-04-26 06:00:00,6,2025-04-26 06:10:00,2025-04-27 06:00:00,3035.2147916801696,6000.0,4.3893453974198143e-16,forecast,1.0,13460.18413001225,15339.080682652582,False,2025-04-25
4-3,2025-04-26,2025-04-26 12:00:00,12,2025-04-26 12:10:00,2025-04-27 12:00:00,10800.0,6000.0,0.0,forecast,1.0,12118.18082104971,13804.059199205944,False,2025-04-25
4-3,2025-04-26,2025-04-26 18:00:00,18,2025-04-26 18:10:00,2025-04-27 18:00:00,10142.61187037037,6000.0,0.0,forecast,1.0,11926.01505392714,13569.272791428091,False,2025-04-25
4-3,2025-04-27,2025-04-27 00:00:00,0,2025-04-27 00:10:00,2025-04-28 00:00:00,6394.880838328513,6000.0,0.0,forecast,1.0,32958.3611552999,36201.67777604294,False,2025-04-26
4-3,2025-04-27,2025-04-27 06:00:00,6,2025-04-27 06:10:00,2025-04-28 06:00:00,9387.003333333332,6000.0,0.0,forecast,1.0,33590.42989388983,37015.271305659524,False,2025-04-26
4-3,2025-04-27,2025-04-27 12:00:00,12,2025-04-27 12:10:00,2025-04-28 12:00:00,8171.4133045929775,6000.0,5.263760773210065e-16,forecast,1.0,33988.476181360544,37370.738413583604,False,2025-04-26
4-3,2025-04-27,2025-04-27 18:00:00,18,2025-04-27 18:10:00,2025-04-28 18:00:00,10800.0,6000.0,2.300126868710986e-16,forecast,1.0,41152.21060319695,46144.068693938825,False,2025-04-26
4-3,2025-04-28,2025-04-28 00:00:00,0,2025-04-28 00:10:00,2025-04-29 00:00:00,6385.16644326114,6000.0,0.0,forecast,1.0,38537.01730645093,42873.43077186684,False,2025-04-27
4-3,2025-04-28,2025-04-28 06:00:00,6,2025-04-28 06:10:00,2025-04-29 06:00:00,10024.624074074074,6000.0,0.0,forecast,1.0,37591.97040267341,41864.70843061521,False,2025-04-27
4-3,2025-04-28,2025-04-28 12:00:00,12,2025-04-28 12:10:00,2025-04-29 12:00:00,8345.901496018905,6000.0,0.0,forecast,1.0,37213.93808757918,41078.7645433739,False,2025-04-27
4-3,2025-04-28,2025-04-28 18:00:00,18,2025-04-28 18:10:00,2025-04-29 18:00:00,10797.684765176118,6000.0,0.0,forecast,1.0,34890.12943540324,39165.96919196652,False,2025-04-27
