date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-07-08,78042.84143131322,78042.84143131322,0.0,0.0,19796.473373417357,15055.008066464805,3111.8736151114017,841.862722805408,58551.6667244489,0.0,26513.77372040583,85065.44044485473,4808.157956129195,5897.197251688369
2025-07-09,78202.00260897452,78202.00260897452,0.0,0.0,20339.593762076547,16359.05193867744,182.49248617542878,345.2282550841806,58429.53572144399,0.0,1312.069377546928,59741.60509899091,5897.197251688369,6026.107261248988
2025-07-10,76974.46649827337,76974.46649827337,0.0,0.0,19652.341533711577,16067.719710712881,634.1194081802777,1170.3407001216272,58014.24607501549,0.0,5228.588383746783,63242.83445876228,6026.107261248988,5860.192740797309
2025-07-11,39745.17489712559,39745.17489712559,0.0,0.0,18247.77620982742,15005.367879001882,2364.660727545701,6348.650143845745,22704.983806591652,0.0,9578.272596921857,32283.256403513507,5860.192740797309,5610.560352973236
2025-07-12,42542.012249454674,42542.012249454674,0.0,0.0,19307.350977561495,15530.313714779104,801.9813601092957,8482.71301344825,23893.356142124896,0.0,4913.596269159027,28806.952411283924,5610.560352973236,5731.272105246238
2025-07-13,75112.16421330653,75112.16421330653,0.0,0.0,19148.95132815913,15580.129109758373,1083.6544704353946,3359.2760653411733,54462.35432063751,0.0,9002.239672759308,63464.59399339682,5731.272105246238,5654.073734191261
2025-07-14,75633.79894129047,75633.79894129047,0.0,0.0,20071.933244988893,15950.634830341263,664.7024333459448,369.5237433221283,55924.26665425173,0.0,5631.634204688168,61555.900858939895,5654.073734191261,5995.886065413194
2025-07-15,77187.22998460649,77187.22998460649,0.0,0.0,18941.422434041455,15065.143633832171,159.06198865911222,720.9625897229803,57434.41636305353,0.0,1302.7890980767625,58737.205461130296,5995.886065413194,6304.117774014757
2025-07-16,76918.64247784471,76918.64247784471,0.0,0.0,19553.298670969984,16005.281448084907,663.9749543941147,1900.0368260204207,57746.47351264817,0.0,5535.7570147835495,63282.23052743172,6304.117774014757,6118.44052446007
2025-07-17,75958.04109160464,75958.04109160464,0.0,0.0,20432.06293680178,16702.27931004291,1722.3434001526628,1230.1847983317693,56058.27189222683,0.0,13976.253479737317,70034.52537196415,6118.44052446007,5949.209045311776
2025-07-18,42126.01565093906,42126.01565093906,0.0,0.0,16852.756210809697,13596.549809216454,22.90714940709927,7618.468298752916,23676.525089958664,0.0,154.65761922203072,23831.182709180695,5949.209045311776,6009.412069244439
2025-07-19,41951.29275351789,41951.29275351789,0.0,0.0,17681.86206905244,14477.458032906765,664.7443129812362,12228.813980353456,23529.66668430527,0.0,4144.092566434467,27673.75925073974,6009.412069244439,5837.023450384114
2025-07-20,76106.92811004989,76106.92811004989,0.0,0.0,20100.16279728051,16105.390414146825,429.4987834460259,451.67629369557517,55964.579376102985,0.0,3654.6051483422348,59619.18452444522,5837.023450384114,6032.29172999566
2025-07-21,76669.4975513497,76669.4975513497,0.0,0.0,20433.108569036398,16396.706445397995,1918.3820872514393,561.7281649627483,57267.09230559662,0.0,16160.570891800833,73427.66319739746,6032.29172999566,6203.526725019531
2025-07-22,76418.50795378997,76418.50795378997,0.0,0.0,18945.077583761868,15466.051651092519,1418.3515891591094,562.6889936130685,56858.81277850357,0.0,11726.831797053872,68585.64457555744,6203.526725019531,6069.594715857972
